date,venue,venue_num,race,night,race_type,why_bet,confidence,pred_combo,pred_prob,pred_ev,pred_odds,upset_score,wind_speed,wind_dir,wave,result_combo,payout,hit,profit,n_bets,cost
20260702,蒲郡,7,2,0,イン逃げ型,1号艇勝率低(4.0)|1号艇モーター5位|超荒れ(9.5),0.549,1-3-6,0.03083,1.674,54.3,9.5,3.0,横,1,4-1-2,13740,0,-300,1,300
20260702,平和島,4,9,1,イン逃げ型,波高3cm|超荒れ(9.5),0.8685,6-1-5,0.0662,2.979,45.0,9.5,4.0,横,3,2-5-3,14950,0,-600,2,600
20260702,児島,16,11,0,1残り荒れ型,波高3cm|超荒れ(9.5),0.7769,1-6-4,0.05802,2.559,44.1,9.5,3.0,横,3,1-2-4,530,0,-300,1,300
20260702,福岡,22,9,1,イン逃げ型,向かい風3m|波高3cm|1号艇モーター5位|超荒れ(9.5),0.9294,1-6-2,0.08268,3.266,39.5,9.5,3.0,向,3,4-1-3,4180,0,-300,1,300
20260702,びわこ,11,12,0,1残り荒れ型,波高3cm|超荒れ(9.5),0.7769,1-6-4,0.06207,2.464,39.7,9.5,3.0,横,3,2-1-3,4620,0,-300,1,300
20260702,下関,19,3,0,イン逃げ型,追い風3m|波高3cm|1号艇勝率低(5.0)|1号艇モーター5位|超荒れ(9.5),0.9458,1-6-2,0.08738,6.169,70.6,9.5,3.0,追,3,1-3-2,1200,0,-300,1,300
20260702,平和島,4,10,1,1残り荒れ型,波高3cm|1号艇モーター5位|超荒れ(9.5),0.66,1-3-6,0.03738,2.261,60.5,9.5,4.0,横,3,1-4-6,10960,0,-300,1,300
20260702,児島,16,12,0,1残り荒れ型,波高3cm|1号艇モーター5位|超荒れ(9.5),0.919,1-6-4,0.07972,3.221,40.4,9.5,3.0,横,3,4-6-5,18870,0,-300,1,300
20260702,福岡,22,10,1,イン逃げ型,向かい風3m|波高3cm|超荒れ(8.5),0.8908,1-2-6,0.07755,4.583,59.1,8.469,3.0,向,3,1-2-4,400,0,-300,1,300
20260702,平和島,4,11,1,イン逃げ型,波高3cm|超荒れ(9.5),0.927,6-1-4,0.08201,5.815,70.9,9.5,4.0,横,3,3-1-6,4930,0,-1300,2,1300
20260702,浜名湖,6,12,1,イン逃げ型,荒れ(6.0),0.7883,1-6-5,0.06254,4.734,75.7,5.97,4.0,横,2,1-2-3,430,0,-300,1,300
20260702,蒲郡,7,4,0,イン逃げ型,1号艇モーター6位|超荒れ(9.5),0.766,1-6-4,0.07268,2.144,29.5,9.5,3.0,横,1,1-2-3,1380,0,-300,1,300
20260702,下関,19,4,0,1残り荒れ型,追い風3m|波高3cm|1号艇勝率低(3.6)|超荒れ(9.5),0.5631,1-3-6,0.03767,1.609,42.7,9.5,3.0,追,3,1-2-4,6430,0,-300,1,300
20260702,福岡,22,11,1,イン逃げ型,向かい風3m|波高3cm|1号艇モーター6位|超荒れ(9.5),0.8448,1-6-4,0.06786,2.782,41.0,9.5,3.0,向,3,1-2-6,5260,0,-300,1,300
20260702,蒲郡,7,5,0,イン逃げ型,EV高値,0.8613,1-6-2,0.08923,4.97,55.7,4.949,3.0,横,1,2-5-4,53770,0,-300,1,300
20260702,下関,19,6,0,1残り荒れ型,追い風3m|波高3cm,0.6961,1-2-6,0.08115,2.15,26.5,4.475,3.0,追,3,3-2-1,11310,0,-600,2,600
20260702,蒲郡,7,6,0,イン逃げ型,超荒れ(8.8),0.6925,1-6-5,0.0598,2.045,34.2,8.819,3.0,横,1,1-2-3,1430,0,-300,1,300
20260702,蒲郡,7,6,0,イン逃げ型,1号艇ST大幅遅れ0.24|1号艇展示1位|超荒れ(8.2),0.9001,1-6-5,0.08712,2.875,33.0,8.195,3.0,横,1,1-2-3,1430,0,-600,2,600
20260702,下関,19,7,0,イン逃げ型,波高3cm|1号艇モーター5位|超荒れ(9.5),0.8979,1-6-4,0.07368,3.588,48.7,9.5,3.0,横,3,1-6-2,20310,0,-600,2,600
20260702,蒲郡,7,7,0,イン逃げ型,荒れ(5.6),0.9128,6-1-2,0.1224,4.859,39.7,5.639,3.0,横,1,1-5-3,710,0,-1000,1,1000
20260702,下関,19,8,0,イン逃げ型,波高3cm|超荒れ(9.5),0.8227,1-6-4,0.05219,3.179,60.9,9.5,3.0,横,3,1-2-5,1810,0,-300,1,300
20260702,下関,19,9,0,イン逃げ型,波高3cm|荒れ(5.4),0.8138,1-6-5,0.07324,5.581,76.2,5.375,3.0,横,3,1-4-2,1060,0,-600,2,600
20260702,下関,19,10,0,イン逃げ型,波高3cm|1号艇モーター5位|超荒れ(9.5),0.99,1-6-2,0.10519,4.891,46.5,9.5,3.0,横,3,1-3-5,820,0,-600,2,600
20260702,下関,19,11,0,1残り荒れ型,波高3cm|1号艇モーター6位|超荒れ(9.5),0.8893,1-6-4,0.07122,4.865,68.3,9.5,3.0,横,3,4-1-5,2790,0,-300,1,300
20260702,蒲郡,7,11,0,イン逃げ型,1号艇モーター6位|超荒れ(8.9),0.8496,1-2-6,0.06357,4.984,78.4,8.857,3.0,横,1,1-6-2,1870,0,-300,1,300
20260702,下関,19,12,0,イン逃げ型,波高3cm|超荒れ(9.5),0.99,1-6-2,0.12574,9.871,78.5,9.5,3.0,横,3,1-5-3,2110,0,-600,2,600
20260703,平和島,4,4,1,モンスター型,波高3cm|1号艇ST大幅遅れ0.21|1号艇勝率低(4.5)|1号艇モーター5位|1号艇展示2位|超荒れ(9.5),0.99,1-6-5,0.11369,5.366,47.2,9.5,3.0,横,3,3-1-6,1680,0,-1600,3,1600,,,,,,,,
20260703,平和島,4,6,1,イン逃げ型,波高3cm|1号艇ST遅れ0.18|1号艇展示2位|超荒れ(9.5),0.99,1-6-5,0.11165,5.437,48.7,9.5,4.0,横,3,3-1-6,2910,0,-1300,2,1300,,,,,,,,
20260703,平和島,4,8,1,イン逃げ型,波高3cm|1号艇展示2位|超荒れ(9.5),0.9731,1-2-6,0.09518,7.167,75.3,9.5,3.0,横,3,1-4-2,530,0,-900,3,900,,,,,,,,
20260703,平和島,4,9,1,1残り荒れ型,波高3cm|1号艇勝率低(5.0)|超荒れ(9.5),0.9138,1-3-6,0.07824,5.649,72.2,9.5,2.0,横,3,1-2-3,550,0,-1200,4,1200,,,,,,,,
